Date,Open,High,Low,Close,Volume
20161226  20:00:00,34.92,35.02,34.85,34.94,812.0
20161226  20:30:00,34.94,34.95,34.92,34.95,93.0
20161226  21:00:00,34.95,34.95,34.89,34.9,65.0
20161226  21:30:00,34.89,34.96,34.88,34.95,237.0
20161226  22:00:00,34.95,35.23,34.95,35.19,722.0
20161226  22:30:00,35.19,35.19,35.07,35.13,330.0
20161226  23:00:00,35.13,35.17,35.12,35.14,125.0
20161226  23:30:00,35.13,35.15,35.13,35.14,61.0
20161227  00:00:00,35.14,35.25,35.12,35.24,200.0
20161227  00:30:00,35.23,35.26,35.21,35.26,277.0
20161227  01:00:00,35.26,35.36,35.26,35.31,823.0
20161227  01:30:00,35.31,35.38,35.31,35.36,230.0
20161227  02:00:00,35.35,35.37,35.25,35.32,319.0
20161227  02:30:00,35.31,35.32,35.29,35.29,107.0
20161227  03:00:00,35.3,35.36,35.21,35.24,555.0
20161227  03:30:00,35.24,35.28,35.21,35.23,210.0
20161227  04:00:00,35.23,35.23,35.18,35.19,354.0
20161227  04:30:00,35.19,35.26,35.18,35.25,305.0
20161227  05:00:00,35.26,35.28,35.25,35.25,280.0
20161227  05:30:00,35.25,35.38,35.25,35.36,391.0
20161227  06:00:00,35.36,35.37,35.3,35.33,233.0
20161227  06:30:00,35.33,35.43,35.32,35.35,299.0
20161227  07:00:00,35.35,35.35,35.32,35.33,185.0
20161227  07:30:00,35.34,35.35,35.32,35.33,143.0
20161227  08:00:00,35.34,35.42,35.32,35.39,314.0
20161227  08:30:00,35.4,35.43,35.38,35.39,254.0
20161227  09:30:00,35.3,35.58,35.3,35.45,4555.0
20161227  10:00:00,35.45,35.63,35.45,35.56,3325.0
20161227  10:30:00,35.56,35.57,35.33,35.34,1758.0
20161227  11:00:00,35.34,35.39,35.25,35.3,1894.0
20161227  11:30:00,35.3,35.35,35.19,35.21,1477.0
20161227  12:00:00,35.21,35.31,35.15,35.25,1532.0
20161227  12:30:00,35.25,35.34,35.24,35.28,1100.0
20161227  13:00:00,35.28,35.39,35.27,35.35,941.0
20161227  13:30:00,35.35,35.37,35.25,35.31,1637.0
20161227  14:00:00,35.31,35.51,35.3,35.36,2588.0
20161227  20:00:00,35.4,35.47,35.37,35.42,1178.0
20161227  20:30:00,35.43,35.44,35.35,35.37,442.0
20161227  21:00:00,35.38,35.39,35.25,35.29,518.0
20161227  21:30:00,35.29,35.31,35.26,35.28,159.0
