dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.4_system,safef,mrThreshold,timestamp
2016-07-04,-0.00168407292295,0.0,0.00186500961648,0.0,95751.98,-407.37,both_zigZag_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,-0.0212722852512,wf_is_short,95750.06,-407.36,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is5,1.0,,
2016-07-05,-0.00785180712347,0.0,0.00208514414057,0.0,93715.12,-2036.86,both_zigZag_GNBayes DPS wl5.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,93713.24,-2036.82,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is6,1.0,0.75,20160705 23:13:03 EDT
2016-07-06 00:00:00,0.0280846900226,8e-05,0.00131876094679,0.0,111420.33,1501.68,both_gainAhead_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,106299.5,721.19,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f86_is7,1.0,0.75,20160706 21:18:39 EDT
2016-07-07 00:00:00,0.118795829838,5.09993400044e-05,0.00161514570617,0.0,113865.8,7741.46,both_sellHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,107024.59,3766.2,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.75,20160707 21:43:03 EDT
2016-07-08 00:00:00,0.140870710837,5.09991600045e-05,0.00186500961648,0.0,117649.45,3792.76,both_gainAhead_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,108802.82,1782.51,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f91_is29,1.0,0.75,20160708 20:58:42 EDT
2016-07-11 00:00:00,0.000929320872767,0.0,0.00114208048144,0.0,117899.77,250.32,both_gainAhead_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,108918.57,115.75,0.0,1.0,gainAhead_VotingSoft,1.0,gainAhead_VotingSoft_f91_is29,1.0,0.75,20160711 20:53:38 EDT
2016-07-12 00:00:00,-0.00583895723769,0.0,0.00131876094679,0.0,90653.42,-954.04,both_zigZag_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv2e_p2p,90651.62,-954.02,0.0,1.0,zigZag_VotingSoft,-1.0,zigZag_VotingSoft_f91_is29,1.0,0.75,20160712 21:04:11 EDT
2016-07-13 00:00:00,-0.00644874707948,0.0,0.00161514570617,3.83265475759,95812.54,-1394.25,both_zigZag_GNBayes DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,95810.62,-1394.23,3.83257826756,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is4,1.0,0.75,20160713 21:25:43 EDT
2016-07-14 00:00:00,-0.00737994224704,0.0,0.00186500961648,0.0,94779.31,-1033.23,both_zigZag_GNBayes DPS wl4.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_short,94777.41,-1033.21,0.0,1.0,zigZag_GNBayes,1.0,zigZag_GNBayes_f86_is5,1.0,0.75,20160714 20:45:10 EDT
2016-07-15 00:00:00,0.0405070009035,0.0,0.00114208048144,0.0,106379.62,3033.23,both_gainAhead_GNBayes DPS wl1.5 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_short,104756.65,1515.08,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f86_is6,1.0,0.75,20160715 21:14:30 EDT
2016-07-18 00:00:00,-0.00220831901807,0.0,0.00131876094679,2.12125489072,106060.62,-319.0,both_gainAhead_GNBayes DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_short,104600.63,-156.02,0.0,1.0,gainAhead_GNBayes,-1.0,gainAhead_GNBayes_f86_is7,1.0,0.75,20160718 21:15:31 EDT
2016-07-19 00:00:00,0.0383953910138,0.00155958172348,0.00161514570617,2.10679449501,105337.62,1606.64,both_sellHold DPS wl3.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,103995.13,1588.21,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.75,20160719 20:57:41 EDT
2016-07-20 00:00:00,0.00652423918759,0.00127652016949,0.00186500961648,0.0,105337.62,0.0,both_sellHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,103995.13,0.0,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.75,20160720 20:53:25 EDT
2016-07-21 00:00:00,0.0211091722609,0.00100427430667,0.00208514414057,0.0,105701.32,363.7,both_sellHold DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,104174.66,179.53,0.0,1.0,sellHold,-1.0,sellHold,1.0,0.75,20160721 21:27:08 EDT
